iter	Logloss
0	0.6507834391
1	0.6140365186
2	0.5813808969
3	0.550353664
4	0.5247229415
5	0.5006589612
6	0.4795296807
7	0.459714434
8	0.4429557291
9	0.4271999635
10	0.412632117
11	0.3995888438
12	0.3883703171
13	0.377949876
14	0.3686742617
15	0.3604406782
16	0.3536335804
17	0.3468350523
18	0.3408096668
19	0.3350094675
20	0.3302631734
21	0.3259220608
22	0.3216826183
23	0.3184315691
24	0.3151561527
25	0.3121497412
26	0.3096059391
27	0.306652704
28	0.304362589
29	0.3021808279
30	0.2999638967
31	0.2982954043
32	0.2965842395
33	0.2947972382
34	0.2934760358
35	0.2920893987
36	0.2909588843
37	0.2896532374
38	0.2886877996
39	0.2876482255
40	0.2867738945
41	0.2856855446
42	0.284895224
43	0.2840486562
44	0.2834261353
45	0.2826741292
46	0.281980197
47	0.2814680411
48	0.2809853566
49	0.2804025503
50	0.2800146629
51	0.2796044434
52	0.2791029643
53	0.2787200067
54	0.2783234274
55	0.2779494098
56	0.2775961034
57	0.2773003971
58	0.2769463098
59	0.276648568
60	0.276268151
61	0.2759457356
62	0.275630067
63	0.2754112189
64	0.2752027949
65	0.2749686437
66	0.2747493307
67	0.2745185913
68	0.274396708
69	0.274226107
70	0.2740389371
71	0.2738386651
72	0.273706993
73	0.2734866544
74	0.2733669592
75	0.2731956459
76	0.2730003509
77	0.2727933855
78	0.2726363025
79	0.2724865544
80	0.2723275503
81	0.2721660921
82	0.2720545193
83	0.2719210392
84	0.2717310819
85	0.2715584337
86	0.2713617552
87	0.2711623632
88	0.2710578654
89	0.2709529789
90	0.270809304
91	0.270658159
92	0.2704697706
93	0.2703553348
94	0.2702539024
95	0.2701040408
96	0.2699945966
97	0.2698561859
98	0.2696939153
99	0.2695462042
100	0.2694601663
101	0.2693393218
102	0.2692699168
103	0.2691798832
104	0.2690744302
105	0.2690013645
106	0.2689132564
107	0.2687548061
108	0.2686611489
109	0.2685601904
110	0.2684841654
111	0.2683835552
112	0.2682508957
113	0.2681293073
114	0.2680417415
115	0.2679333411
116	0.2678562534
117	0.2677794795
118	0.2676893509
119	0.2676327148
